Classification Code,Num of Titles (Active)
AC,4472
AE,275
AG,228
AI,69
AM,876
AN,296
AP,1815
AS,1607
AY,1984
AZ,613
B,31025
BC,1494
BD,5852
BF,19951
BH,1750
BJ,5950
BL,15125
BM,5171
BP,5574
BQ,3601
BR,11822
BS,16258
BT,9360
BV,8895
BX,23454
C,3
CB,2793
CC,2469
CD,1128
CE,183
CJ,893
CN,380
CR,624
CS,1245
CT,3247
D,19349
DA,22137
DAW,62
DB,1357
DC,6780
DD,5833
DE,736
DF,4021
DG,6188
DH,375
DJ,315
DJK,437
DK,8912
DL,970
DP,7098
DQ,291
DR,2699
DS,46202
DT,11828
DU,2612
DX,159
E,49193
F,48760
G,21441
GA,1183
GB,3620
GC,1706
GE,2966
GF,2079
GN,11452
GR,3172
GT,3961
GV,10762
H,3368
HA,3503
HB,18415
HC,31219
HD,59528
HE,6474
HF,22678
HG,18961
HJ,5630
HM,12716
HN,9617
HQ,26717
HS,562
HT,8917
HV,25653
HX,4572
J,262
JA,3979
JC,11651
JF,3687
JJ,6
JK,7976
JL,3026
JN,5825
JQ,4330
JS,1740
JV,4156
JX,4297
JZ,5990
K,12259
KB,33
KBM,42
KBP,323
KBR,59
KBU,60
KD,3588
KDC,780
KDE,6
KDG,1
KDK,108
KDZ,94
KE,934
KEA,4
KEB,14
KEM,4
KEN,15
KEO,30
KEP,1
KEQ,24
KES,1
KEZ,1
KF,35835
KFA,27
KFC,73
KFD,18
KFF,27
KFG,17
KFH,14
KFI,40
KFK,15
KFL,16
KFM,113
KFN,295
KFO,17
KFP,12
KFR,2
KFS,9
KFT,57
KFU,3
KFV,79
KFW,24
KFX,50
KFZ,5
KG,217
KGB,3
KGC,5
KGD,7
KGE,2
KGF,159
KGG,7
KGH,3
KGJ,5
KGK,1
KGL,3
KGN,36
KGP,2
KGQ,19
KGS,19
KGT,4
KGV,21
KGX,1
KH,29
KHA,94
KHC,14
KHD,122
KHF,53
KHH,780
KHK,6
KHP,10
KHQ,97
KHU,11
KHW,51
KJ,90
KJA,346
KJC,607
KJE,729
KJG,2
KJH,1
KJJ,23
KJK,13
KJM,5
KJN,2
KJP,5
KJR,5
KJS,1
KJT,4
KJV,194
KJW,11
KK,2595
KKA,40
KKB,49
KKC,10
KKE,10
KKF,16
KKG,7
KKH,97
KKI,5
KKJ,3
KKK,1
KKL,1
KKM,44
KKN,7
KKP,26
KKQ,9
KKR,10
KKS,1
KKT,582
KKV,15
KKW,28
KKX,32
KKY,8
KKZ,8
KL,142
KLA,95
KLB,70
KLH,1
KLN,2
KLP,1
KLR,4
KLW,1
KM,25
KMC,50
KME,1
KMH,21
KMJ,13
KMK,55
KML,3
KMM,7
KMN,4
KMP,2
KMQ,4
KMT,6
KMU,1
KMV,4
KMX,3
KNC,83
KNE,1
KNF,4
KNG,2
KNL,4
KNM,6
KNN,124
KNP,9
KNQ,300
KNR,35
KNS,140
KNT,2
KNU,4
KNW,33
KNX,90
KP,2
KPA,38
KPC,1
KPG,15
KPH,2
KPK,1
KPL,25
KPM,5
KPP,4
KPS,2
KPT,12
KPV,4
KQ,5
KQC,106
KQE,3
KQG,8
KQK,2
KQT,3
KQV,1
KQW,9
KRG,1
KRM,28
KRN,2
KRP,3
KRU,2
KRX,10
KS,2
KSK,23
KSN,1
KSP,2
KSS,1
KSU,2
KSV,1
KSW,4
KSY,14
KT,1
KTA,29
KTD,17
KTG,2
KTK,2
KTL,69
KTQ,10
KTT,13
KTV,3
KTW,10
KTZ,9
KU,139
KUC,4
KUE,1
KUH,2
KUQ,20
KVC,9
KVL,0
KVN,1
KVU,1
KWC,1
KWH,4
KWR,1
KWX,11
KZ,1847
KZA,146
KZD,20
L,1203
LA,3994
LB,15059
LC,8916
LD,3838
LE,214
LF,757
LG,157
LH,200
LJ,206
LT,8
M,74397
ML,25958
MT,2878
N,41676
NA,18877
NB,6573
NC,6361
ND,26008
NE,4170
NK,9851
NX,4493
P,21315
PA,16630
PB,555
PC,6911
PD,547
PE,5680
PF,2054
PG,23909
PH,815
PJ,7608
PK,1628
PL,31887
PM,1888
PN,60151
PQ,122890
PR,62334
PS,67622
PT,30999
PZ,6232
Q,12306
QA,73649
QB,8286
QC,28869
QD,15633
QE,13691
QH,16058
QK,5303
QL,10828
QM,1406
QP,11537
QR,2878
R,10502
RA,13030
RB,2076
RC,26173
RD,4530
RE,958
RF,632
RG,2696
RJ,4099
RK,518
RL,479
RM,3019
RS,1223
RT,2215
RV,10
RX,46
RZ,146
S,4857
SB,5016
SD,1539
SF,2120
SH,1397
SK,654
T,6934
TA,13804
TC,1496
TD,5783
TE,454
TF,428
TG,296
TH,1718
TJ,5841
TK,24774
TL,3768
TN,3197
TP,6208
TR,12682
TS,3563
TT,1265
TX,3211
U,4394
UA,4828
UB,1841
UC,542
UD,104
UE,41
UF,318
UG,2306
UH,321
Unknown,1976577
V,616
VA,484
VB,118
VC,62
VD,4
VE,116
VF,22
VG,127
VK,635
VM,655
Z,29289
ZA,602